selection_rank,appid,name,total_ratings_pos_neg,positive_ratio,steamspy_owners,v005_split,v005_model,llm6_model_used,corpus_label_12,is_core_strict_12,is_core_broad_12,is_core_maybe_12,is_review_pool_12,is_missing_llm_result,llm6_has_clear_main_protagonist,llm6_protagonist_name,llm6_protagonist_type,llm6_protagonist_confidence_0_3,primary_archetype_12,secondary_archetype_12,tertiary_archetype_12,primary_archetype_12_is_valid,original_shadow_antihero_present,original_primary_was_shadow_antihero,llm6_shadow_load_0_3,shadow_load_category,archetype_12_correction_method,llm6_primary_archetype,llm6_secondary_archetype,llm6_tertiary_archetype,llm6_archetype_confidence_0_3,llm6_archetype_suitability_0_3,llm6_player_projection_0_3,llm6_narrative_complexity_0_3,llm6_suggested_include_in_final_corpus,llm6_needs_manual_review,needs_manual_review_12,llm6_evidence_basis,llm6_exclusion_reason,llm6_note,rank_bin_5000,available_terms_for_later_inspection,control_protagonist,llm6_custom_id,llm6_split_label,llm6_part_no,llm6_source_output_file
11333,597700,OVIVO,462,0.9004329004329005,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,sfx,silent_fixed_protagonist,2.0,Explorer/Seeker,Magician/Transformer,Innocent,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Magician/Transformer,Innocent,2.0,1.0,2.0,1.0,yes,False,False,general_knowledge,none,Abstract puzzle movement game,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11336,931270,MicroTown,462,0.945887445887446,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,simulator_or_management_role,2.0,Ruler/Leader,Creator/Artist,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Ruler/Leader,Creator/Artist,Everyman/Orphan,2.0,1.0,0.0,2.0,yes,False,False,general_knowledge,simulator_or_management,Town management simulation,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11337,1098170,Dark Nights with Poe and Munro,462,0.7597402597402597,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,fixed_role_single,2.0,Sage/Investigator,Hero/Warrior,Explorer/Seeker,True,False,False,1.0,low,original_primary_valid_12,Sage/Investigator,Hero/Warrior,Explorer/Seeker,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Interactive Poe and Munro episodes,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11338,1194680,ZooKeeper Simulator,462,0.8614718614718615,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,simulator_or_management_role,2.0,Everyman/Orphan,Caregiver/Guardian,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Everyman/Orphan,Caregiver/Guardian,Hero/Warrior,2.0,1.0,0.0,1.0,yes,False,False,general_knowledge,simulator_or_management,Zoo management simulator,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11339,1273100,Builders of Greece,462,0.6277056277056277,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,simulator_or_management_role,2.0,Ruler/Leader,Creator/Artist,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Ruler/Leader,Creator/Artist,Hero/Warrior,2.0,1.0,0.0,2.0,yes,False,False,general_knowledge,simulator_or_management,City builder about ancient Greece,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11340,1399840,Neptunia Virtual Stars,462,0.5735930735930735,"0 .. 20,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fen,fixed_named_single,2.0,Creator/Artist,Explorer/Seeker,Lover,True,False,False,0.0,none,original_primary_valid_12,Creator/Artist,Explorer/Seeker,Lover,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Neptunia ensemble virtual idol cast,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11341,1841390,100 hidden fish,462,0.961038961038961,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,player_avatar_weakly_defined,2.0,Sage/Investigator,Explorer/Seeker,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Sage/Investigator,Explorer/Seeker,Everyman/Orphan,2.0,1.0,2.0,1.0,yes,False,False,general_knowledge,insufficient_information,Hidden object fish search,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11342,2060480,PomoFarm,462,0.9696969696969696,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,simulator_or_management_role,2.0,Caregiver/Guardian,Creator/Artist,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Caregiver/Guardian,Creator/Artist,Everyman/Orphan,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,simulator_or_management,Farm management game,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11343,2712550,The Shell Part II: Purgatorio,462,0.974025974025974,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,fixed_named_single,2.0,Explorer/Seeker,Sage/Investigator,Uncertain,True,True,True,1.0,low,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Explorer/Seeker,Sage/Investigator,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Visual novel sequel with fixed lead,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11344,2732100,Medieval Blacksmith,462,0.8376623376623377,"0 .. 20,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,simulator_or_management_role,2.0,Creator/Artist,Everyman/Orphan,Ruler/Leader,True,False,False,0.0,none,original_primary_valid_12,Creator/Artist,Everyman/Orphan,Ruler/Leader,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,simulator_or_management,Blacksmith crafting and shop management,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11345,2776500,Time Treker,462,0.7121212121212122,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,strategy_or_systemic_role,2.0,Explorer/Seeker,Hero/Warrior,Sage/Investigator,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Hero/Warrior,Sage/Investigator,2.0,1.0,0.0,2.0,yes,False,False,general_knowledge,pure_strategy_or_systemic_role,Time-travel tactical strategy,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11346,2891120,Mad Smartphone Tycoon,462,0.7467532467532467,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,simulator_or_management_role,2.0,Creator/Artist,Ruler/Leader,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Creator/Artist,Ruler/Leader,Everyman/Orphan,2.0,1.0,0.0,2.0,yes,False,False,general_knowledge,simulator_or_management,Smartphone company tycoon,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11347,33910,ARMA 2,461,0.7310195227765727,"200,000 .. 500,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,sys,strategy_or_systemic_role,2.0,Ruler/Leader,Rebel/Outlaw,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Ruler/Leader,Rebel/Outlaw,Hero/Warrior,2.0,1.0,0.0,2.0,yes,False,False,general_knowledge,pure_strategy_or_systemic_role,"Military strategy game, faction control",10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11348,248190,Knytt Underground,461,0.8481561822125814,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,silent_fixed_protagonist,2.0,Explorer/Seeker,Sage/Investigator,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Sage/Investigator,Everyman/Orphan,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Puzzle exploration platformer,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11349,312230,Spirits of Xanadu,461,0.7830802603036876,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,silent_fixed_protagonist,2.0,Explorer/Seeker,Sage/Investigator,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Sage/Investigator,Hero/Warrior,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,First-person exploration mystery,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0007-ranks-11301-11350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11602,1484960,Escape to Moscow,443,0.8645598194130926,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Escape to Moscow,fixed_named_single,2.0,Explorer/Seeker,Rebel/Outlaw,Everyman/Orphan,True,False,False,1.0,low,original_primary_valid_12,Explorer/Seeker,Rebel/Outlaw,Everyman/Orphan,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,"Escape journey, outsider survival theme",10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11605,2877540,Heretical,443,0.9367945823927766,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Heretical,fixed_named_single,2.0,Rebel/Outlaw,Magician/Transformer,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Rebel/Outlaw,Shadow/Antihero,Magician/Transformer,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Rebellious occult protagonist,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11613,346970,OBEY,442,0.8484162895927602,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,OBEY,fixed_named_single,2.0,Rebel/Outlaw,Jester/Trickster,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Rebel/Outlaw,Shadow/Antihero,Jester/Trickster,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Defiance-themed protagonist,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11617,636070,Corridor Z,442,0.7352941176470589,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Corridor Z,fixed_named_single,2.0,Hero/Warrior,Rebel/Outlaw,Uncertain,True,True,False,2.0,medium,original_primary_valid_12,Hero/Warrior,Shadow/Antihero,Rebel/Outlaw,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Zombie escape action hero,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11626,2844700,Doki Doki AI Interrogation,442,0.8280542986425339,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Doki Doki AI Interrogation,fixed_named_single,2.0,Sage/Investigator,Jester/Trickster,Explorer/Seeker,True,False,False,0.0,none,original_primary_valid_12,Sage/Investigator,Jester/Trickster,Explorer/Seeker,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,insufficient_information,Interrogation and dialogue-driven lead,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11637,1454520,MONOLISK,441,0.7868480725623582,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,MONOLISK,customizable_but_defined,2.0,Creator/Artist,Magician/Transformer,Explorer/Seeker,True,False,False,0.0,none,original_primary_valid_12,Creator/Artist,Magician/Transformer,Explorer/Seeker,2.0,1.0,2.0,2.0,yes,False,False,general_knowledge,none,Customizable creator-adventurer,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11638,2139300,Redemption Reapers,441,0.7392290249433107,"0 .. 20,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Redemption Reapers,fixed_ensemble,2.0,Hero/Warrior,Caregiver/Guardian,Uncertain,True,True,True,2.0,medium,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Hero/Warrior,Caregiver/Guardian,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Party of grim mercenaries,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11642,315860,Celestian Tales: Old North,440,0.6977272727272728,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Celestian Tales: Old North,fixed_named_single,2.0,Hero/Warrior,Everyman/Orphan,Caregiver/Guardian,True,False,False,0.0,none,original_primary_valid_12,Hero/Warrior,Everyman/Orphan,Caregiver/Guardian,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,none,Story-led party adventure,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0013-ranks-11601-11650,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
11711,41740,Cargo! The Quest for Gravity,435,0.8045977011494253,"0 .. 20,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Cargo! The Quest for Gravity,fixed_named_single,2.0,Explorer/Seeker,Creator/Artist,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Creator/Artist,Everyman/Orphan,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Protagonist seeking cargo and gravity,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0015-ranks-11701-11750,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12218,357500,Rumble Fighter: Unleashed,401,0.5536159600997507,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Rumble Fighter: Unleashed,fixed_named_single,2.0,Hero/Warrior,Rebel/Outlaw,Jester/Trickster,True,False,False,1.0,low,original_primary_valid_12,Hero/Warrior,Rebel/Outlaw,Jester/Trickster,2.0,1.0,1.0,1.0,yes,False,False,metadata_inference,none,Combat avatar in fighter,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0025-ranks-12201-12250,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12303,1187940,Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,396,0.457070707070707,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,fixed_ensemble,2.0,Hero/Warrior,Lover,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Hero/Warrior,Lover,Everyman/Orphan,2.0,1.0,1.0,2.0,yes,False,False,general_knowledge,multiplayer_only_or_no_story_focus,Party RPG with anime ensemble,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0027-ranks-12301-12350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12306,1309620,Bears In Space,396,0.9393939393939394,"0 .. 20,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Bears In Space,fixed_named_single,2.0,Hero/Warrior,Jester/Trickster,Explorer/Seeker,True,False,False,0.0,none,original_primary_valid_12,Hero/Warrior,Jester/Trickster,Explorer/Seeker,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Bear-suited hero shooter,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0027-ranks-12301-12350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12308,1465510,DUSK '82: ULTIMATE EDITION,396,0.9545454545454546,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,DUSK '82: ULTIMATE EDITION,fixed_named_single,2.0,Jester/Trickster,Rebel/Outlaw,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Jester/Trickster,Rebel/Outlaw,Shadow/Antihero,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Retro horror parody cast,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0027-ranks-12301-12350,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12354,1839700,Milk Bottle And Monster Girl,393,0.8142493638676844,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Milk Bottle And Monster Girl,fixed_named_single,2.0,Lover,Innocent,Jester/Trickster,True,False,False,0.0,none,original_primary_valid_12,Lover,Innocent,Jester/Trickster,2.0,1.0,2.0,1.0,yes,False,False,metadata_inference,none,Monster girl relationship focus,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0028-ranks-12351-12400,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12359,408250,Eagle Flight,392,0.5867346938775511,"0 .. 20,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Eagle Flight,nonhuman_fixed_protagonist,2.0,Explorer/Seeker,Innocent,Uncertain,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Innocent,Not applicable,2.0,1.0,1.0,1.0,yes,False,False,general_knowledge,none,Player is an eagle,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0028-ranks-12351-12400,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12391,263420,Probably Archery,390,0.4538461538461538,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Probably Archery,fixed_named_single,2.0,Jester/Trickster,Hero/Warrior,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Jester/Trickster,Hero/Warrior,Everyman/Orphan,2.0,1.0,2.0,1.0,yes,False,False,general_knowledge,none,Comedic archery game,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0028-ranks-12351-12400,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12395,601010,Hotel Anatolia,390,0.7025641025641025,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,Hotel Anatolia,fixed_named_single,2.0,Everyman/Orphan,Sage/Investigator,Lover,True,False,False,0.0,none,original_primary_valid_12,Everyman/Orphan,Sage/Investigator,Lover,2.0,1.0,1.0,1.0,yes,False,False,metadata_inference,none,Likely hotel narrative lead,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0028-ranks-12351-12400,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12410,680480,ICY: Frostbite Edition,389,0.8611825192802056,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,,fixed_named_single,2.0,Hero/Warrior,Explorer/Seeker,Everyman/Orphan,True,False,False,0.0,none,original_primary_valid_12,Hero/Warrior,Explorer/Seeker,Everyman/Orphan,2.0,1.0,1.0,1.0,yes,False,False,metadata_inference,none,ICY platformer hero,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0029-ranks-12401-12450,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12452,380580,SpaceCorn,386,0.6217616580310881,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,fixed_named_single,2.0,Explorer/Seeker,Sage/Investigator,Magician/Transformer,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Sage/Investigator,Magician/Transformer,2.0,1.0,1.0,2.0,yes,False,False,metadata_inference,none,Likely fixed hero in abstract puzzle world.,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12457,556280,Neon Prism,386,0.6502590673575129,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,silent_fixed_protagonist,2.0,Magician/Transformer,Explorer/Seeker,Creator/Artist,True,False,False,0.0,none,original_primary_valid_12,Magician/Transformer,Explorer/Seeker,Creator/Artist,2.0,1.0,1.0,2.0,yes,False,False,metadata_inference,none,Color puzzle platformer; abstract fixed avatar.,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12458,719200,The Wall,386,0.7176165803108808,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,silent_fixed_protagonist,2.0,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,none,Likely side-scrolling escape protagonist.,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12461,905690,魔物讨伐团,386,0.6347150259067358,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,fixed_named_single,2.0,Hero/Warrior,Ruler/Leader,Magician/Transformer,True,False,False,0.0,none,original_primary_valid_12,Hero/Warrior,Ruler/Leader,Magician/Transformer,2.0,1.0,1.0,2.0,yes,False,False,metadata_inference,none,Monster-slaying squad leadership fantasy.,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12470,2347940,Sea of Survivors,386,0.8264248704663213,"50,000 .. 100,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,fixed_named_single,2.0,Explorer/Seeker,Hero/Warrior,Rebel/Outlaw,True,False,False,0.0,none,original_primary_valid_12,Explorer/Seeker,Hero/Warrior,Rebel/Outlaw,2.0,1.0,1.0,2.0,yes,False,False,metadata_inference,none,"Survivor sailing action, pirate-themed.",10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12476,396640,TowerClimb,385,0.9168831168831169,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,silent_fixed_protagonist,2.0,Hero/Warrior,Explorer/Seeker,Uncertain,True,True,False,1.0,low,original_primary_valid_12,Hero/Warrior,Explorer/Seeker,Shadow/Antihero,2.0,1.0,2.0,2.0,yes,False,False,metadata_inference,none,Climbing platformer with fixed climber.,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12477,415850,BAD END,385,0.8389610389610389,"20,000 .. 50,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,fixed_named_single,2.0,Everyman/Orphan,Explorer/Seeker,Uncertain,True,True,True,2.0,medium,primary_shadow_reassigned_from_secondary_or_tertiary,Shadow/Antihero,Everyman/Orphan,Explorer/Seeker,2.0,1.0,1.0,2.0,yes,False,False,metadata_inference,none,"Horror narrative, likely dark protagonist.",10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
12478,499460,Tomato Jones,385,0.8207792207792208,"100,000 .. 200,000",rest_54mini,gpt-5.4-mini,gpt-5.4-mini,core_broad,False,True,True,False,False,yes,fns,silent_fixed_protagonist,2.0,Jester/Trickster,Explorer/Seeker,Hero/Warrior,True,False,False,0.0,none,original_primary_valid_12,Jester/Trickster,Explorer/Seeker,Hero/Warrior,2.0,1.0,2.0,1.0,yes,False,False,metadata_inference,none,Cartoon platformer featuring Tomato Jones.,10001-15000,,,steam-v006-rest54mini-part_003-chunk-0030-ranks-12451-12500,,3.0,steam_bulk_outputs\steam_v006_rest_parts\steam_v006_rest_54mini_part_003_output.jsonl
