a,h,pn,pt,pc,p,s,t,ac,su,sh,pp,nc,inc,ex,mr,eb,note,custom_id,split_label
552990,n,,nop,3,NA,NA,NA,3,0,0,0,0,n,multi,False,g,Multiplayer warship combat,steam-v005-top1000-55-chunk-00003-ranks-101-150,top1000_55
601150,y,"Nero, Dante, V",fen,3,HER,SHA,REB,3,3,2,1,3,y,multi,False,g,Stylized demon-hunting ensemble,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
2881650,n,,nop,3,NA,NA,NA,0,0,0,2,0,n,multi,False,g,Co-op streamer avatars only,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
671860,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Large-scale multiplayer shooter,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
227940,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Multiplayer war roles,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
8870,y,Booker DeWitt,fns,3,SHA,HER,CAR,3,3,3,1,3,y,none,False,g,Guilty rescuer in Columbia,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
524220,y,"2B, 9S, A2",fen,3,HER,EXP,SHA,3,3,2,1,3,y,multi,False,g,Android ensemble seeking meaning,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
208650,y,Batman,fns,3,HER,SHA,CAR,3,3,3,1,3,y,none,False,g,Dark guardian vigilante,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
3590,n,,sys,3,NA,NA,NA,0,0,0,1,0,n,sys,False,g,Tower-defense household system,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
433340,y,Beatrix LeBeau,fns,3,EXP,CRE,CAR,3,3,0,2,1,y,none,False,g,Hopeful frontier rancher,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
686810,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Multiplayer WWII combat roles,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1057090,y,Ori,nfx,3,INN,HER,EXP,3,3,0,1,2,y,none,False,g,Pure spirit on heroic quest,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
391220,y,Lara Croft,fns,3,EXP,HER,SAG,3,3,1,1,3,y,none,False,g,Driven archaeologist survivor,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
508440,n,,sim,3,NA,NA,NA,0,0,0,0,0,n,sim,False,g,Battle sandbox simulation,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
236850,n,,sys,3,NA,NA,NA,0,0,0,1,0,n,sys,False,g,Nation-state grand strategy,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
552500,y,Ubersreik Five,fen,3,HER,CAR,SHA,2,2,1,1,2,y,multi,False,g,Hero ensemble against Chaos,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1222680,n,,spr,3,NA,NA,NA,0,0,0,2,0,n,spr,False,g,Racing avatar role,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
244850,n,,sim,3,NA,NA,NA,0,0,0,2,0,n,sim,False,g,Sandbox engineering avatars,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1092790,y,Luke Carder,fns,2,SAG,EVE,SHA,2,3,2,2,3,y,none,True,g,Meta investigator framing,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1868140,y,Dave,fns,3,EVE,EXP,CAR,3,3,0,2,2,y,none,False,g,Ordinary diver and helper,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
570940,y,Chosen Undead,cbd,3,EVE,HER,EXP,2,3,2,3,2,y,none,False,g,Cursed undead seeker,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
361420,n,,sim,3,NA,NA,NA,0,0,0,2,0,n,sim,False,g,Sandbox astronaut exploration,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
457140,n,,sim,3,NA,NA,NA,0,0,0,0,0,n,sim,False,g,Colony management system,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1677740,n,,nop,3,NA,NA,NA,0,0,0,1,0,n,multi,False,g,Party royale competitors,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
362890,y,Gordon Freeman,sfx,3,HER,SAG,EVE,3,3,0,2,2,y,none,False,g,Silent scientist hero,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
220200,n,,sim,3,NA,NA,NA,0,0,0,0,0,n,sim,False,g,Space-program management,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
581320,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Tactical multiplayer shooter,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1158310,n,,sys,3,NA,NA,NA,0,0,0,1,0,n,sys,False,g,Dynasty grand strategy,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
232090,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Co-op class shooters,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
238320,y,Miles Upshur,fns,3,SAG,EVE,EXP,3,3,1,2,2,y,none,False,g,Investigative journalist survivor,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
204360,y,Castle Crashers knights,fen,3,HER,JES,CAR,2,2,0,2,1,y,multi,False,g,Comedic heroic knights,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1151640,y,Aloy,fns,3,EXP,HER,SAG,3,3,0,1,3,y,none,False,g,Outcast seeker of origins,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1289310,y,Helltaker,frs,3,LOV,JES,REB,3,2,1,2,1,y,none,False,g,Comic demon-romance seeker,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
222880,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Multiplayer tactical combat,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
594570,n,,sys,3,NA,NA,NA,0,0,0,1,0,n,sys,False,g,Faction grand strategy,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
323190,n,,sys,3,NA,NA,NA,0,0,0,1,1,n,sys,False,g,City-leader survival system,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
674940,n,,nop,3,NA,NA,NA,0,0,0,1,0,n,multi,False,g,Arena stick-figure fighters,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1151340,y,Vault 76 resident,cbd,2,EVE,EXP,HER,2,2,1,3,1,m,multi,False,g,Custom wasteland survivor,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
225540,y,Rico Rodriguez,fns,3,REB,HER,JES,3,3,1,1,2,y,none,False,g,Explosive revolutionary agent,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
412020,y,Artyom,sfx,3,EXP,HER,CAR,3,3,1,2,3,y,none,False,g,Silent seeker protecting family,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1506830,n,,spr,3,NA,NA,NA,0,0,0,1,0,n,spr,False,g,Sports team control,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
504230,y,Madeline,fns,3,EXP,EVE,SHA,3,3,2,2,3,y,none,False,g,Self-discovery climber,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1142710,n,,sys,3,NA,NA,NA,0,0,0,1,0,n,sys,False,g,Faction grand strategy,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
386360,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,MOBA roster selection,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1604030,y,Awakened vampire,cbd,3,SHA,RUL,MAG,3,3,3,3,1,y,multi,False,g,Custom vampire lord,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
774171,n,,nop,2,NA,NA,NA,0,0,0,1,0,n,other,False,g,"Rhythm mascots, little narrative",steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1196590,y,Ethan Winters,fns,3,CAR,EVE,HER,3,3,2,2,3,y,none,False,g,Father rescuing daughter,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1818750,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Crossover fighter roster,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
301520,n,,nop,3,NA,NA,NA,0,0,0,0,0,n,multi,False,g,Vehicle-building PvP,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
1832640,u,,unc,1,UNC,UNC,UNC,0,1,0,1,1,m,unk,True,u,Unclear visual-novel protagonist,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
335300,y,Bearer of the Curse,cbd,3,EVE,HER,EXP,2,3,2,3,2,y,none,False,g,Cursed undead wanderer,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55
223470,y,POSTAL 2,fns,3,SHA,REB,JES,3,3,3,1,2,y,none,False,g,"Postal Dude, violent satirical antihero.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
220240,y,Far Cry 3,fns,3,EVE,HER,SHA,3,3,2,1,3,y,none,False,g,Jason transforms from tourist to killer.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
582160,y,Assassin's Creed Origins,fdu,3,HER,CAR,REB,3,3,1,1,3,y,none,False,g,Bayek and Aya found the Hidden Ones.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1643320,y,S.T.A.L.K.E.R. 2: Heart of Chornobyl,fns,3,EXP,EVE,SHA,2,3,2,2,3,y,none,False,g,Skif searches the Zone's dangerous truth.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
387990,u,Scrap Mechanic,pav,1,CRE,EXP,EVE,2,2,0,3,1,m,other,True,m,"Sandbox mechanic avatar, little narrative.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1361210,y,"Warhammer 40,000: Darktide",cbd,2,EVE,HER,SHA,2,2,2,3,2,m,multi,False,g,Custom reject fights for survival and redemption.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1446780,y,MONSTER HUNTER RISE,cbd,3,HER,CAR,EXP,3,3,0,3,2,y,multi,False,g,Custom hunter protects Kamura village.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
305620,y,The Long Dark,fdu,2,EVE,EXP,HER,2,3,1,2,3,y,none,False,g,Mackenzie and Astrid survive the quiet apocalypse.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1817070,y,Marvel’s Spider-Man Remastered,fns,3,HER,CAR,LOV,3,3,0,1,3,y,none,False,g,Peter Parker balances heroism and relationships.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
629760,n,MORDHAU,nop,3,NA,NA,NA,0,0,0,2,0,n,multi,False,g,Multiplayer medieval combat without protagonist.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
513710,u,SCUM,pav,1,SHA,EVE,REB,1,1,2,3,1,m,multi,True,m,Custom convict avatar in survival sandbox.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
677620,n,Splitgate: Arena Warfare,nop,3,NA,NA,NA,0,0,0,2,0,n,multi,False,g,"Arena shooter, no narrative protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
632470,y,Disco Elysium - The Final Cut,fns,3,SAG,SHA,EVE,3,3,3,2,3,y,none,False,g,Harry investigates while rebuilding himself.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
2527500,y,MiSide,frs,2,EVE,EXP,INN,2,2,1,2,2,m,none,True,u,Ordinary player trapped in game world.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1903340,y,Clair Obscur: Expedition 33,fen,2,HER,EXP,CAR,2,3,1,1,3,y,none,True,u,Expedition ensemble confronts doomed world.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
286690,y,Metro 2033 Redux,sfx,3,EVE,HER,EXP,3,3,1,2,3,y,none,False,g,Artyom journeys through the Metro.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
899770,y,Last Epoch,cbd,2,EXP,HER,MAG,2,2,1,3,2,m,none,False,g,Custom traveler crosses eras to avert ruin.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
424840,y,Little Nightmares,sfx,3,INN,EVE,SHA,3,3,2,1,2,y,none,False,g,"Six is a vulnerable, ominous child survivor.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
231430,n,Company of Heroes 2,sys,3,NA,NA,NA,0,0,0,1,1,n,sys,False,g,"RTS army command, not protagonist-led.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
219740,u,Don't Starve,fen,2,EVE,EXP,CRE,2,2,1,2,1,m,other,True,g,"Selectable survivors, Wilson only loosely central.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
2195250,n,EA SPORTS FC 24,spr,3,NA,NA,NA,0,0,0,2,0,n,spr,False,g,"Sports teams and athletes, no protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1167630,y,Teardown,frs,2,REB,CRE,SHA,2,2,2,2,2,m,none,False,g,Demolition contractor slides into heists.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
440900,y,Conan Exiles Enhanced,cbd,2,EVE,EXP,SHA,2,2,2,3,1,m,multi,False,g,Custom exile survives brutal wilderness.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
356190,y,Middle-earth: Shadow of War,fdu,3,SHA,HER,RUL,3,3,3,1,3,y,none,False,g,Talion and Celebrimbor wield corrupting power.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
2054970,y,Dragon's Dogma 2,cbd,3,HER,EXP,RUL,3,3,1,3,3,y,none,False,g,Custom Arisen pursues destiny and sovereignty.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
219150,y,Hotline Miami,sfx,3,SHA,REB,JES,3,3,3,1,3,y,none,False,g,Jacket is a masked violent antihero.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
976310,y,Mortal Kombat 11,fen,2,HER,REB,RUL,2,2,2,1,2,m,multi,False,g,Story campaign rotates among iconic fighters.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
779340,n,Total War: THREE KINGDOMS,sys,3,NA,NA,NA,0,0,0,1,1,n,sys,False,g,Player controls warlord faction systems.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1313140,y,Cult of the Lamb,nfx,3,RUL,SHA,REB,3,3,2,2,2,y,none,False,g,Possessed lamb builds and rules cult.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1687950,y,Persona 5 Royal,sfx,3,REB,HER,JES,3,3,1,2,3,y,none,False,g,Joker leads rebellious Phantom Thieves.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1259420,y,Days Gone,fns,3,SHA,LOV,HER,3,3,3,1,3,y,none,False,g,Deacon is a grieving biker survivor.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1943950,u,Escape the Backrooms,pav,1,EVE,EXP,UNC,1,1,0,3,1,m,multi,True,m,Anonymous survivors navigate liminal horror.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1771300,y,Kingdom Come: Deliverance II,fns,3,EVE,HER,EXP,3,3,1,1,3,y,none,False,g,Henry continues ordinary man’s heroic rise.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
282070,y,This War of Mine,fen,2,EVE,CAR,SHA,3,3,2,2,3,y,none,False,g,Civilian survivor ensemble under moral pressure.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
268500,n,XCOM 2,sys,3,NA,NA,NA,0,0,0,1,1,n,sys,False,g,Strategic commander and squad system.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
221380,n,Age of Empires II (Retired),sys,3,NA,NA,NA,0,0,0,1,0,n,sys,False,g,Civilization RTS without player protagonist.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
359320,u,Elite Dangerous,sim,1,EXP,UNC,UNC,1,1,0,3,1,m,sim,True,g,Open-ended space commander simulation.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
287700,y,METAL GEAR SOLID V: THE PHANTOM PAIN,fns,3,SHA,HER,RUL,3,3,3,2,3,y,none,False,g,Venom Snake embodies revenge and command.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
755790,n,Ring of Elysium,nop,3,NA,NA,NA,0,0,0,2,0,n,multi,False,g,"Battle royale competitors, no protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
219990,y,Grim Dawn,cbd,2,EVE,HER,MAG,2,2,2,3,2,m,none,False,g,Custom Taken survives occult apocalypse.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1217060,u,Gunfire Reborn,fen,2,HER,EXP,MAG,1,1,0,2,1,m,multi,True,g,"Selectable animal heroes, minimal story.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1721470,y,Poppy Playtime,frs,2,EVE,SAG,EXP,2,2,1,2,2,m,none,False,g,Former employee investigates abandoned toy factory.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
233860,n,Kenshi,nop,2,NA,NA,NA,0,0,0,3,1,n,nop,True,g,"Emergent squad sandbox, no canonical protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
418370,y,Resident Evil 7 Biohazard,fns,3,EVE,LOV,HER,3,3,1,2,3,y,none,False,g,Ethan searches for Mia and survives.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
1942280,y,Brotato,nfx,2,HER,JES,EVE,1,1,0,1,0,m,none,True,g,Comedic potato fights alien waves.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
546560,y,Half-Life: Alyx,fns,3,HER,EXP,CAR,3,3,0,2,3,y,none,False,g,Alyx rescues father and resists Combine.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
848450,y,Subnautica: Below Zero,fns,3,EXP,SAG,CAR,3,3,0,2,3,y,none,False,g,Robin investigates sister on alien ocean.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
460930,y,Tom Clancy's Ghost Recon Wildlands,cbd,2,HER,RUL,SAG,2,2,1,3,2,m,multi,False,g,Custom Nomad leads covert squad.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
2835570,y,Buckshot Roulette,frs,2,EVE,REB,SHA,1,1,1,2,1,m,none,True,g,Anonymous gambler faces deadly dealer.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
613100,n,House Flipper,sim,3,NA,NA,NA,0,0,0,3,0,n,sim,False,g,"Renovation simulator, no narrative protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55
376210,n,The Isle,nop,3,NA,NA,NA,3,0,0,3,0,n,multi,False,g,Multiplayer dinosaur survival; no main character,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
646910,n,The Crew 2,spr,3,NA,NA,NA,3,0,0,2,0,n,spr,False,g,"Racing role, not narrative protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
365590,y,Tom Clancy’s The Division,cbd,2,HER,CAR,RUL,2,2,1,3,1,y,none,False,g,Custom SHD agent restores order,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
466240,n,Deceit,nop,3,NA,NA,NA,3,0,1,3,0,n,multi,False,g,Social deduction roles only,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
389730,n,TEKKEN 7,nop,2,NA,NA,NA,2,0,2,1,1,n,multi,True,g,Fighting roster lacks single usable protagonist,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
304050,n,Trove,nop,3,NA,NA,NA,3,0,0,3,0,n,multi,False,g,"Sandbox MMO avatars, no central protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1665460,n,eFootball,spr,3,NA,NA,NA,3,0,0,1,0,n,spr,False,g,Sports teams and players only,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1030840,y,Mafia: Definitive Edition,fns,3,SHA,REB,EVE,3,3,3,1,3,y,none,False,g,Tommy Angelo enters criminal underworld,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
516750,n,My Summer Car,sim,3,NA,NA,NA,3,0,0,3,0,n,sim,False,g,"Life-car simulation avatar, minimal narrative",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
952060,y,Resident Evil 3,fns,3,HER,EVE,CAR,3,3,1,1,2,y,none,False,g,Jill Valentine survives and protects civilians,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1046930,n,Dota Underlords,sys,3,NA,NA,NA,3,0,0,1,0,n,sys,False,g,"Autobattler commander system, no protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
241930,y,Middle-earth: Shadow of Mordor,fns,3,SHA,HER,MAG,3,3,3,1,3,y,none,False,g,Talion’s vengeful wraith-bound quest,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
383870,y,Firewatch,fns,3,EVE,EXP,LOV,3,3,1,2,3,y,none,False,g,Henry flees life into wilderness mystery,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
349040,y,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,fen,2,HER,REB,LOV,2,2,1,1,2,m,multi,True,g,"Licensed ninja ensemble, Naruto-centered arc",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
629520,n,Soundpad,nop,3,NA,NA,NA,3,0,0,0,0,n,info,False,g,"Audio utility, not narrative game",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
214950,n,Total War: ROME II - Emperor Edition,sys,3,NA,NA,NA,3,0,0,1,0,n,sys,False,g,Faction grand strategy role,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
703080,n,Planet Zoo,sim,3,NA,NA,NA,3,0,0,2,0,n,sim,False,g,Zoo management simulation,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1407200,n,World of Tanks,spr,3,NA,NA,NA,3,0,0,1,0,n,spr,False,g,"Competitive vehicle combat, no protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
20920,y,The Witcher 2: Assassins of Kings Enhanced Edition,fns,3,SHA,HER,EXP,3,3,3,1,3,y,none,False,g,Geralt navigates politics and identity,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
823130,n,Totally Accurate Battlegrounds,nop,3,NA,NA,NA,3,0,0,3,0,n,multi,False,g,Comic battle royale avatars only,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
582660,u,Black Desert,pav,1,EXP,UNC,UNC,1,1,1,3,1,m,multi,True,g,MMO adventurer with diffuse narrative,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
311690,y,Enter the Gungeon,fen,2,REB,SHA,EXP,2,2,2,2,1,y,none,False,g,Gungeoneers seek to erase pasts,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1366540,y,Dyson Sphere Program,frs,2,CRE,EXP,SAG,2,1,0,2,1,m,none,False,g,Icarus engineers galactic megastructures,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
962130,y,Grounded,fen,2,INN,EVE,EXP,2,2,0,2,2,y,none,False,g,Shrunken teens survive backyard mystery,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1248130,n,Farming Simulator 22,sim,3,NA,NA,NA,3,0,0,3,0,n,sim,False,g,Agricultural simulation role,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
753640,y,Outer Wilds,nfx,3,EXP,SAG,INN,3,3,0,2,3,y,none,False,g,Hearthian astronaut investigates time loop,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
683320,y,GRIS,fns,3,EXP,INN,MAG,3,3,1,1,2,y,none,False,g,Gris journeys through grief and color,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
635260,n,CarX Drift Racing Online,spr,3,NA,NA,NA,3,0,0,2,0,n,spr,False,g,Drift racing vehicle role,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
235460,y,METAL GEAR RISING: REVENGEANCE,fns,3,HER,SHA,REB,3,3,3,1,3,y,none,False,g,Raiden’s violent cyborg justice quest,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
761890,n,Albion Online,nop,3,NA,NA,NA,3,0,0,3,0,n,multi,False,g,Sandbox MMO without narrative lead,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
644560,u,Mirror,pav,1,LOV,UNC,UNC,1,1,0,2,1,m,unk,True,m,Adult puzzle VN protagonist is weakly defined,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
20900,y,The Witcher: Enhanced Edition Director's Cut,fns,3,SHA,EXP,HER,3,3,3,1,3,y,none,False,g,Amnesiac Geralt seeks identity and justice,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
234140,y,Mad Max,fns,3,SHA,EXP,HER,3,3,3,1,2,y,none,False,g,Max survives wasteland vengeance and loss,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
12120,y,Grand Theft Auto: San Andreas,fns,3,REB,SHA,LOV,3,3,3,2,3,y,none,False,g,CJ returns for family and gang power,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1274570,n,DEVOUR,nop,2,NA,NA,NA,3,0,1,3,0,n,multi,False,g,Co-op horror roles lack central protagonist,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1222700,y,A Way Out,fdu,3,REB,LOV,SHA,3,3,3,1,3,y,none,False,g,Leo and Vincent escape prison together,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
254700,y,Resident Evil 4 (2005),fns,3,HER,CAR,SAG,3,3,1,1,2,y,none,False,g,Leon rescues Ashley from cult,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
447040,y,Watch_Dogs 2,fns,3,REB,JES,SAG,3,3,1,2,2,y,none,False,g,Marcus hacks against surveillance systems,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
205100,y,Dishonored,fns,3,SHA,HER,CAR,3,3,3,2,3,y,none,False,g,Corvo avenges empress and protects Emily,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
291480,n,Warface: Clutch,nop,3,NA,NA,NA,3,0,0,2,0,n,multi,False,g,Online shooter classes only,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
550650,n,Black Squad,nop,3,NA,NA,NA,3,0,0,2,0,n,multi,False,g,Competitive shooter lacks protagonist,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
2001120,y,Split Fiction,fdu,3,CRE,EXP,HER,2,3,1,1,3,y,none,False,g,Mio and Zoe traverse authored worlds,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1466860,n,Age of Empires IV: Anniversary Edition,sys,3,NA,NA,NA,3,0,0,1,0,n,sys,False,g,"Civilization strategy, systemic control",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
815370,y,Green Hell,fns,3,EXP,LOV,EVE,3,3,2,2,3,y,none,False,g,Jake searches jungle and memory,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
206440,y,To the Moon,fdu,3,CAR,SAG,MAG,3,3,0,1,3,y,none,False,g,Doctors alter memories to grant wish,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
1150690,y,OMORI,fns,3,SHA,EVE,INN,3,3,3,1,3,y,none,False,g,Sunny confronts trauma through Omori,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55
