appid,llm5_has_clear_main_protagonist,llm5_protagonist_name,llm5_protagonist_type,llm5_protagonist_confidence_0_3,llm5_primary_archetype,llm5_secondary_archetype,llm5_tertiary_archetype,llm5_archetype_confidence_0_3,llm5_archetype_suitability_0_3,llm5_shadow_load_0_3,llm5_player_projection_0_3,llm5_narrative_complexity_0_3,llm5_suggested_include_in_final_corpus,llm5_exclusion_reason,llm5_needs_manual_review,llm5_evidence_basis,llm5_note,llm5_custom_id,llm5_split_label,llm5_model_used
225540,yes,Rico Rodriguez,fixed_named_single,3,Rebel/Outlaw,Hero/Warrior,Jester/Trickster,3,3,1,1,2,yes,none,False,general_knowledge,Explosive revolutionary agent,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
412020,yes,Artyom,silent_fixed_protagonist,3,Explorer/Seeker,Hero/Warrior,Caregiver/Guardian,3,3,1,2,3,yes,none,False,general_knowledge,Silent seeker protecting family,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
1506830,no,,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,sports_or_racing,False,general_knowledge,Sports team control,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
504230,yes,Madeline,fixed_named_single,3,Explorer/Seeker,Everyman/Orphan,Shadow/Antihero,3,3,2,2,3,yes,none,False,general_knowledge,Self-discovery climber,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
1142710,no,,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,pure_strategy_or_systemic_role,False,general_knowledge,Faction grand strategy,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
386360,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,MOBA roster selection,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
1604030,yes,Awakened vampire,customizable_but_defined,3,Shadow/Antihero,Ruler/Leader,Magician/Transformer,3,3,3,3,1,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom vampire lord,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
774171,no,,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,other,False,general_knowledge,"Rhythm mascots, little narrative",steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
1196590,yes,Ethan Winters,fixed_named_single,3,Caregiver/Guardian,Everyman/Orphan,Hero/Warrior,3,3,2,2,3,yes,none,False,general_knowledge,Father rescuing daughter,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
1818750,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Crossover fighter roster,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
301520,no,,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,0,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Vehicle-building PvP,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
1832640,uncertain,,uncertain,1,Uncertain,Uncertain,Uncertain,0,1,0,1,1,maybe,unknown_game,True,uncertain,Unclear visual-novel protagonist,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
335300,yes,Bearer of the Curse,customizable_but_defined,3,Everyman/Orphan,Hero/Warrior,Explorer/Seeker,2,3,2,3,2,yes,none,False,general_knowledge,Cursed undead wanderer,steam-v005-top1000-55-chunk-00004-ranks-151-200,top1000_55,gpt-5.5
223470,yes,POSTAL 2,fixed_named_single,3,Shadow/Antihero,Rebel/Outlaw,Jester/Trickster,3,3,3,1,2,yes,none,False,general_knowledge,"Postal Dude, violent satirical antihero.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
220240,yes,Far Cry 3,fixed_named_single,3,Everyman/Orphan,Hero/Warrior,Shadow/Antihero,3,3,2,1,3,yes,none,False,general_knowledge,Jason transforms from tourist to killer.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
582160,yes,Assassin's Creed Origins,fixed_dual,3,Hero/Warrior,Caregiver/Guardian,Rebel/Outlaw,3,3,1,1,3,yes,none,False,general_knowledge,Bayek and Aya found the Hidden Ones.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1643320,yes,S.T.A.L.K.E.R. 2: Heart of Chornobyl,fixed_named_single,3,Explorer/Seeker,Everyman/Orphan,Shadow/Antihero,2,3,2,2,3,yes,none,False,general_knowledge,Skif searches the Zone's dangerous truth.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
387990,uncertain,Scrap Mechanic,player_avatar_weakly_defined,1,Creator/Artist,Explorer/Seeker,Everyman/Orphan,2,2,0,3,1,maybe,other,True,metadata_inference,"Sandbox mechanic avatar, little narrative.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1361210,yes,"Warhammer 40,000: Darktide",customizable_but_defined,2,Everyman/Orphan,Hero/Warrior,Shadow/Antihero,2,2,2,3,2,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom reject fights for survival and redemption.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1446780,yes,MONSTER HUNTER RISE,customizable_but_defined,3,Hero/Warrior,Caregiver/Guardian,Explorer/Seeker,3,3,0,3,2,yes,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom hunter protects Kamura village.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
305620,yes,The Long Dark,fixed_dual,2,Everyman/Orphan,Explorer/Seeker,Hero/Warrior,2,3,1,2,3,yes,none,False,general_knowledge,Mackenzie and Astrid survive the quiet apocalypse.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1817070,yes,Marvel’s Spider-Man Remastered,fixed_named_single,3,Hero/Warrior,Caregiver/Guardian,Lover,3,3,0,1,3,yes,none,False,general_knowledge,Peter Parker balances heroism and relationships.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
629760,no,MORDHAU,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Multiplayer medieval combat without protagonist.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
513710,uncertain,SCUM,player_avatar_weakly_defined,1,Shadow/Antihero,Everyman/Orphan,Rebel/Outlaw,1,1,2,3,1,maybe,multiplayer_only_or_no_story_focus,True,metadata_inference,Custom convict avatar in survival sandbox.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
677620,no,Splitgate: Arena Warfare,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Arena shooter, no narrative protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
632470,yes,Disco Elysium - The Final Cut,fixed_named_single,3,Sage/Investigator,Shadow/Antihero,Everyman/Orphan,3,3,3,2,3,yes,none,False,general_knowledge,Harry investigates while rebuilding himself.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
2527500,yes,MiSide,fixed_role_single,2,Everyman/Orphan,Explorer/Seeker,Innocent,2,2,1,2,2,maybe,none,True,uncertain,Ordinary player trapped in game world.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1903340,yes,Clair Obscur: Expedition 33,fixed_ensemble,2,Hero/Warrior,Explorer/Seeker,Caregiver/Guardian,2,3,1,1,3,yes,none,True,uncertain,Expedition ensemble confronts doomed world.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
286690,yes,Metro 2033 Redux,silent_fixed_protagonist,3,Everyman/Orphan,Hero/Warrior,Explorer/Seeker,3,3,1,2,3,yes,none,False,general_knowledge,Artyom journeys through the Metro.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
899770,yes,Last Epoch,customizable_but_defined,2,Explorer/Seeker,Hero/Warrior,Magician/Transformer,2,2,1,3,2,maybe,none,False,general_knowledge,Custom traveler crosses eras to avert ruin.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
424840,yes,Little Nightmares,silent_fixed_protagonist,3,Innocent,Everyman/Orphan,Shadow/Antihero,3,3,2,1,2,yes,none,False,general_knowledge,"Six is a vulnerable, ominous child survivor.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
231430,no,Company of Heroes 2,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,pure_strategy_or_systemic_role,False,general_knowledge,"RTS army command, not protagonist-led.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
219740,uncertain,Don't Starve,fixed_ensemble,2,Everyman/Orphan,Explorer/Seeker,Creator/Artist,2,2,1,2,1,maybe,other,True,general_knowledge,"Selectable survivors, Wilson only loosely central.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
2195250,no,EA SPORTS FC 24,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,sports_or_racing,False,general_knowledge,"Sports teams and athletes, no protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1167630,yes,Teardown,fixed_role_single,2,Rebel/Outlaw,Creator/Artist,Shadow/Antihero,2,2,2,2,2,maybe,none,False,general_knowledge,Demolition contractor slides into heists.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
440900,yes,Conan Exiles Enhanced,customizable_but_defined,2,Everyman/Orphan,Explorer/Seeker,Shadow/Antihero,2,2,2,3,1,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom exile survives brutal wilderness.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
356190,yes,Middle-earth: Shadow of War,fixed_dual,3,Shadow/Antihero,Hero/Warrior,Ruler/Leader,3,3,3,1,3,yes,none,False,general_knowledge,Talion and Celebrimbor wield corrupting power.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
2054970,yes,Dragon's Dogma 2,customizable_but_defined,3,Hero/Warrior,Explorer/Seeker,Ruler/Leader,3,3,1,3,3,yes,none,False,general_knowledge,Custom Arisen pursues destiny and sovereignty.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
219150,yes,Hotline Miami,silent_fixed_protagonist,3,Shadow/Antihero,Rebel/Outlaw,Jester/Trickster,3,3,3,1,3,yes,none,False,general_knowledge,Jacket is a masked violent antihero.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
976310,yes,Mortal Kombat 11,fixed_ensemble,2,Hero/Warrior,Rebel/Outlaw,Ruler/Leader,2,2,2,1,2,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Story campaign rotates among iconic fighters.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
779340,no,Total War: THREE KINGDOMS,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,pure_strategy_or_systemic_role,False,general_knowledge,Player controls warlord faction systems.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1313140,yes,Cult of the Lamb,nonhuman_fixed_protagonist,3,Ruler/Leader,Shadow/Antihero,Rebel/Outlaw,3,3,2,2,2,yes,none,False,general_knowledge,Possessed lamb builds and rules cult.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1687950,yes,Persona 5 Royal,silent_fixed_protagonist,3,Rebel/Outlaw,Hero/Warrior,Jester/Trickster,3,3,1,2,3,yes,none,False,general_knowledge,Joker leads rebellious Phantom Thieves.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1259420,yes,Days Gone,fixed_named_single,3,Shadow/Antihero,Lover,Hero/Warrior,3,3,3,1,3,yes,none,False,general_knowledge,Deacon is a grieving biker survivor.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1943950,uncertain,Escape the Backrooms,player_avatar_weakly_defined,1,Everyman/Orphan,Explorer/Seeker,Uncertain,1,1,0,3,1,maybe,multiplayer_only_or_no_story_focus,True,metadata_inference,Anonymous survivors navigate liminal horror.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1771300,yes,Kingdom Come: Deliverance II,fixed_named_single,3,Everyman/Orphan,Hero/Warrior,Explorer/Seeker,3,3,1,1,3,yes,none,False,general_knowledge,Henry continues ordinary man’s heroic rise.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
282070,yes,This War of Mine,fixed_ensemble,2,Everyman/Orphan,Caregiver/Guardian,Shadow/Antihero,3,3,2,2,3,yes,none,False,general_knowledge,Civilian survivor ensemble under moral pressure.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
268500,no,XCOM 2,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,1,no,pure_strategy_or_systemic_role,False,general_knowledge,Strategic commander and squad system.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
221380,no,Age of Empires II (Retired),strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,0,0,0,1,0,no,pure_strategy_or_systemic_role,False,general_knowledge,Civilization RTS without player protagonist.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
359320,uncertain,Elite Dangerous,simulator_or_management_role,1,Explorer/Seeker,Uncertain,Uncertain,1,1,0,3,1,maybe,simulator_or_management,True,general_knowledge,Open-ended space commander simulation.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
287700,yes,METAL GEAR SOLID V: THE PHANTOM PAIN,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Ruler/Leader,3,3,3,2,3,yes,none,False,general_knowledge,Venom Snake embodies revenge and command.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
755790,no,Ring of Elysium,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,0,0,0,2,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Battle royale competitors, no protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
219990,yes,Grim Dawn,customizable_but_defined,2,Everyman/Orphan,Hero/Warrior,Magician/Transformer,2,2,2,3,2,maybe,none,False,general_knowledge,Custom Taken survives occult apocalypse.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1217060,uncertain,Gunfire Reborn,fixed_ensemble,2,Hero/Warrior,Explorer/Seeker,Magician/Transformer,1,1,0,2,1,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,"Selectable animal heroes, minimal story.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1721470,yes,Poppy Playtime,fixed_role_single,2,Everyman/Orphan,Sage/Investigator,Explorer/Seeker,2,2,1,2,2,maybe,none,False,general_knowledge,Former employee investigates abandoned toy factory.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
233860,no,Kenshi,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,0,0,0,3,1,no,no_clear_protagonist,True,general_knowledge,"Emergent squad sandbox, no canonical protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
418370,yes,Resident Evil 7 Biohazard,fixed_named_single,3,Everyman/Orphan,Lover,Hero/Warrior,3,3,1,2,3,yes,none,False,general_knowledge,Ethan searches for Mia and survives.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
1942280,yes,Brotato,nonhuman_fixed_protagonist,2,Hero/Warrior,Jester/Trickster,Everyman/Orphan,1,1,0,1,0,maybe,none,True,general_knowledge,Comedic potato fights alien waves.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
546560,yes,Half-Life: Alyx,fixed_named_single,3,Hero/Warrior,Explorer/Seeker,Caregiver/Guardian,3,3,0,2,3,yes,none,False,general_knowledge,Alyx rescues father and resists Combine.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
848450,yes,Subnautica: Below Zero,fixed_named_single,3,Explorer/Seeker,Sage/Investigator,Caregiver/Guardian,3,3,0,2,3,yes,none,False,general_knowledge,Robin investigates sister on alien ocean.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
460930,yes,Tom Clancy's Ghost Recon Wildlands,customizable_but_defined,2,Hero/Warrior,Ruler/Leader,Sage/Investigator,2,2,1,3,2,maybe,multiplayer_only_or_no_story_focus,False,general_knowledge,Custom Nomad leads covert squad.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
2835570,yes,Buckshot Roulette,fixed_role_single,2,Everyman/Orphan,Rebel/Outlaw,Shadow/Antihero,1,1,1,2,1,maybe,none,True,general_knowledge,Anonymous gambler faces deadly dealer.,steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
613100,no,House Flipper,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,0,0,0,3,0,no,simulator_or_management,False,general_knowledge,"Renovation simulator, no narrative protagonist.",steam-v005-top1000-55-chunk-00005-ranks-201-250,top1000_55,gpt-5.5
376210,no,The Isle,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Multiplayer dinosaur survival; no main character,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
646910,no,The Crew 2,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,sports_or_racing,False,general_knowledge,"Racing role, not narrative protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
365590,yes,Tom Clancy’s The Division,customizable_but_defined,2,Hero/Warrior,Caregiver/Guardian,Ruler/Leader,2,2,1,3,1,yes,none,False,general_knowledge,Custom SHD agent restores order,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
466240,no,Deceit,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,1,3,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Social deduction roles only,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
389730,no,TEKKEN 7,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,2,0,2,1,1,no,multiplayer_only_or_no_story_focus,True,general_knowledge,Fighting roster lacks single usable protagonist,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
304050,no,Trove,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,"Sandbox MMO avatars, no central protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1665460,no,eFootball,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,sports_or_racing,False,general_knowledge,Sports teams and players only,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1030840,yes,Mafia: Definitive Edition,fixed_named_single,3,Shadow/Antihero,Rebel/Outlaw,Everyman/Orphan,3,3,3,1,3,yes,none,False,general_knowledge,Tommy Angelo enters criminal underworld,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
516750,no,My Summer Car,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,simulator_or_management,False,general_knowledge,"Life-car simulation avatar, minimal narrative",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
952060,yes,Resident Evil 3,fixed_named_single,3,Hero/Warrior,Everyman/Orphan,Caregiver/Guardian,3,3,1,1,2,yes,none,False,general_knowledge,Jill Valentine survives and protects civilians,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1046930,no,Dota Underlords,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,pure_strategy_or_systemic_role,False,general_knowledge,"Autobattler commander system, no protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
241930,yes,Middle-earth: Shadow of Mordor,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Magician/Transformer,3,3,3,1,3,yes,none,False,general_knowledge,Talion’s vengeful wraith-bound quest,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
383870,yes,Firewatch,fixed_named_single,3,Everyman/Orphan,Explorer/Seeker,Lover,3,3,1,2,3,yes,none,False,general_knowledge,Henry flees life into wilderness mystery,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
349040,yes,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,fixed_ensemble,2,Hero/Warrior,Rebel/Outlaw,Lover,2,2,1,1,2,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,"Licensed ninja ensemble, Naruto-centered arc",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
629520,no,Soundpad,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,0,0,no,insufficient_information,False,general_knowledge,"Audio utility, not narrative game",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
214950,no,Total War: ROME II - Emperor Edition,strategy_or_systemic_role,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,pure_strategy_or_systemic_role,False,general_knowledge,Faction grand strategy role,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
703080,no,Planet Zoo,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,simulator_or_management,False,general_knowledge,Zoo management simulation,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1407200,no,World of Tanks,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,1,0,no,sports_or_racing,False,general_knowledge,"Competitive vehicle combat, no protagonist",steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
20920,yes,The Witcher 2: Assassins of Kings Enhanced Edition,fixed_named_single,3,Shadow/Antihero,Hero/Warrior,Explorer/Seeker,3,3,3,1,3,yes,none,False,general_knowledge,Geralt navigates politics and identity,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
823130,no,Totally Accurate Battlegrounds,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Comic battle royale avatars only,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
582660,uncertain,Black Desert,player_avatar_weakly_defined,1,Explorer/Seeker,Uncertain,Uncertain,1,1,1,3,1,maybe,multiplayer_only_or_no_story_focus,True,general_knowledge,MMO adventurer with diffuse narrative,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
311690,yes,Enter the Gungeon,fixed_ensemble,2,Rebel/Outlaw,Shadow/Antihero,Explorer/Seeker,2,2,2,2,1,yes,none,False,general_knowledge,Gungeoneers seek to erase pasts,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1366540,yes,Dyson Sphere Program,fixed_role_single,2,Creator/Artist,Explorer/Seeker,Sage/Investigator,2,1,0,2,1,maybe,none,False,general_knowledge,Icarus engineers galactic megastructures,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
962130,yes,Grounded,fixed_ensemble,2,Innocent,Everyman/Orphan,Explorer/Seeker,2,2,0,2,2,yes,none,False,general_knowledge,Shrunken teens survive backyard mystery,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1248130,no,Farming Simulator 22,simulator_or_management_role,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,simulator_or_management,False,general_knowledge,Agricultural simulation role,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
753640,yes,Outer Wilds,nonhuman_fixed_protagonist,3,Explorer/Seeker,Sage/Investigator,Innocent,3,3,0,2,3,yes,none,False,general_knowledge,Hearthian astronaut investigates time loop,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
683320,yes,GRIS,fixed_named_single,3,Explorer/Seeker,Innocent,Magician/Transformer,3,3,1,1,2,yes,none,False,general_knowledge,Gris journeys through grief and color,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
635260,no,CarX Drift Racing Online,sports_or_racing_role,3,Not applicable,Not applicable,Not applicable,3,0,0,2,0,no,sports_or_racing,False,general_knowledge,Drift racing vehicle role,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
235460,yes,METAL GEAR RISING: REVENGEANCE,fixed_named_single,3,Hero/Warrior,Shadow/Antihero,Rebel/Outlaw,3,3,3,1,3,yes,none,False,general_knowledge,Raiden’s violent cyborg justice quest,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
761890,no,Albion Online,no_clear_protagonist,3,Not applicable,Not applicable,Not applicable,3,0,0,3,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Sandbox MMO without narrative lead,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
644560,uncertain,Mirror,player_avatar_weakly_defined,1,Lover,Uncertain,Uncertain,1,1,0,2,1,maybe,unknown_game,True,metadata_inference,Adult puzzle VN protagonist is weakly defined,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
20900,yes,The Witcher: Enhanced Edition Director's Cut,fixed_named_single,3,Shadow/Antihero,Explorer/Seeker,Hero/Warrior,3,3,3,1,3,yes,none,False,general_knowledge,Amnesiac Geralt seeks identity and justice,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
234140,yes,Mad Max,fixed_named_single,3,Shadow/Antihero,Explorer/Seeker,Hero/Warrior,3,3,3,1,2,yes,none,False,general_knowledge,Max survives wasteland vengeance and loss,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
12120,yes,Grand Theft Auto: San Andreas,fixed_named_single,3,Rebel/Outlaw,Shadow/Antihero,Lover,3,3,3,2,3,yes,none,False,general_knowledge,CJ returns for family and gang power,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1274570,no,DEVOUR,no_clear_protagonist,2,Not applicable,Not applicable,Not applicable,3,0,1,3,0,no,multiplayer_only_or_no_story_focus,False,general_knowledge,Co-op horror roles lack central protagonist,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
1222700,yes,A Way Out,fixed_dual,3,Rebel/Outlaw,Lover,Shadow/Antihero,3,3,3,1,3,yes,none,False,general_knowledge,Leo and Vincent escape prison together,steam-v005-top1000-55-chunk-00006-ranks-251-300,top1000_55,gpt-5.5
