a,h,pn,pt,pc,p,s,t,ac,su,sh,pp,nc,inc,ex,mr,eb,note,custom_id,part_no
2409500,y,Inspector Gadget - MAD Time Party,fns,2,SAG,JES,EXP,1,1,0,1,1,y,none,False,g,Known named protagonist,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2410590,y,Dunk Dunk,spr,2,HER,JES,EVE,1,1,0,1,1,y,spr,False,m,Sports role,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2421690,u,Palladium,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,m,Title insufficient,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2422590,u,Ezerath's Last Hope,unc,1,UNC,NA,NA,0,0,0,0,2,m,unk,True,m,Fantasy title ambiguous,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2422720,u,Blackout Memphis,unc,1,UNC,NA,NA,0,0,0,0,2,m,unk,True,m,Could be shooter or narrative,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2428990,u,Brothers in Hell,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,m,No clear protagonist,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2433320,u,Mage Mayhem,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,m,Could be action or puzzle,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2436390,u,GameDev Trash,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,m,"Likely meta, unclear lead",steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2439010,u,Unibat,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,m,Could be character or tool,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2439870,u,Super Archer,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,m,Generic title only,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2452650,u,Hell Throne,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,m,Could be strategy or action,steam-v006-rest54mini-part_010-chunk-0018-ranks-46851-46900,10
2453520,n,,sim,2,NA,NA,NA,0,2,0,0,1,n,sim,False,m,"Idle management, no protagonist",steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2464660,n,,sys,2,NA,NA,NA,0,2,1,0,1,n,sys,False,g,"War strategy factions, no avatar",steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2475290,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Insufficient reliable info,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2476020,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Insufficient reliable info,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2480180,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Insufficient reliable info,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2483680,n,,spr,3,NA,NA,NA,0,1,0,1,0,n,spr,False,g,Solitaire sports-style avatar absent,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2486700,y,,pav,2,EXP,EVE,NA,1,2,0,2,1,y,info,False,m,Travel avatar across Europe,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2490100,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Spider invasion unclear protagonist,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2490760,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2491620,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2493670,y,,sfx,2,EXP,SHA,NA,1,2,1,2,2,y,info,False,m,Backrooms exploration horror,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2494870,y,,sys,2,RUL,EXP,NA,1,2,0,1,1,y,sys,False,m,City/settler management role,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2504660,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Chickado unclear genre,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2511550,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2516770,n,,sim,2,NA,NA,NA,0,2,0,0,1,n,sim,False,m,"Craft survival sim, no protagonist",steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2517130,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2519370,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unclear survival game,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2522350,n,,sim,2,NA,NA,NA,0,2,0,0,1,n,sim,False,g,Design/maker simulator role,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2532780,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2534620,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2535730,u,,unc,1,UNC,NA,NA,0,0,0,0,2,m,unk,True,u,Lost girl suggests but unclear,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2538780,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2539620,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2542320,y,,sys,2,HER,RUL,NA,1,2,1,1,1,y,sys,False,m,Police command/system role,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2547790,y,,sfx,2,EVE,SHA,NA,1,2,1,2,2,y,info,False,m,Closing shift implies worker protagonist,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2554950,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2559070,n,,spr,3,NA,NA,NA,0,1,0,1,0,n,spr,False,g,Dodging sport/training role,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2559820,n,,sys,2,NA,NA,NA,0,2,1,0,1,n,sys,False,g,"Special ops unit, no single protagonist",steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2568050,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,BAR too ambiguous,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2570280,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2574120,n,,spr,3,NA,NA,NA,0,1,0,1,0,n,spr,False,g,Pickleball sports title,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2576250,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Wyrm fantasy unclear,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2578160,u,,unc,1,UNC,NA,NA,0,0,0,0,2,m,unk,True,u,Romance title but unclear gameplay,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2582260,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2583950,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2584850,y,,sfx,2,HER,EXP,NA,1,2,1,2,1,y,info,False,m,Space survivor single avatar,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2591810,y,,sfx,2,SHA,EXP,NA,1,2,1,2,1,y,info,False,m,Well-based horror survivor,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2593420,n,,sim,2,NA,NA,NA,0,2,0,0,1,n,sim,False,g,"Trading simulator, no protagonist",steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2605940,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2607760,y,,sfx,2,EVE,CAR,NA,1,2,0,2,1,y,info,False,m,Single character hiding from cat,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2609540,y,,fns,2,LOV,MAG,NA,1,2,0,2,1,y,info,False,m,Otome romance with demon prince,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2610050,n,,sim,2,NA,NA,NA,0,2,0,0,1,n,sim,False,g,Co-op cooking sim role,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2610320,n,,sim,2,NA,NA,NA,0,2,0,0,1,n,sim,False,g,"Incremental simulation, no protagonist",steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2620380,n,,sim,2,NA,NA,NA,0,2,0,0,1,n,sim,False,g,"Art-making simulator, no protagonist",steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2625960,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,London doodle game unclear,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2629010,y,,sfx,2,EVE,SHA,NA,1,2,1,2,1,y,info,False,m,Survival during epidemic,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2634470,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Dracula title unclear role,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2637960,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2643830,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Undead Gorlak unclear,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2660850,u,,unc,1,UNC,NA,NA,0,0,0,0,1,m,unk,True,u,Unknown from title alone,steam-v006-rest54mini-part_010-chunk-0019-ranks-46901-46950,10
2664050,u,YOKO,unc,1,UNC,NA,NA,1,1,0,1,1,m,unk,True,m,Insufficient game identity details,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2667270,y,Sifting Thyme,fns,2,LOV,CRE,EVE,2,2,0,1,2,y,info,False,m,Otome romance with culinary theme,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2672260,n,Evil Corporation,sys,2,RUL,REB,SHA,2,1,1,0,2,n,sys,False,m,"Corporation control, no clear protagonist",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2673700,y,里山のおと 夏草こみち,fns,1,EVE,INN,EXP,1,1,0,1,1,m,info,True,m,Likely rural slice-of-life protagonist,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2676980,y,To the Basement,fns,1,EVE,EXP,SHA,1,1,1,1,1,m,info,True,m,Likely single protagonist descent,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2677140,u,Temple of Causality,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,Unknown game structure and role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2678060,u,Inner Darkness,unc,1,SHA,UNC,NA,1,0,2,0,2,m,unk,True,m,Title suggests dark internal theme,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2681060,u,Dust On Thorn,unc,1,EVE,SHA,EXP,1,0,1,0,2,m,unk,True,m,Insufficient reliable genre evidence,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2681950,y,Boba Bar,sim,2,CRE,CAR,RUL,2,2,0,0,2,y,sim,False,m,Tycoon management of a bubble tea shop,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2683360,u,Error_Boy.exe,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,Likely abstract or digital protagonist,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2696390,u,Guns And Draguns,unc,1,HER,REB,MAG,1,0,1,0,1,m,unk,True,m,"Title implies combat, role unclear",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2704270,u,Dorasyeoda,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,Insufficient information from title,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2719600,y,Lorhaven: Cursed War,sys,2,RUL,HER,SHA,2,1,1,0,2,y,sys,False,m,Strategy war game with cursed setting,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2720360,u,Tastrion,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,No clear protagonist information,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2720740,u,The Cooking Class First Course,unc,1,CRE,CAR,EVE,1,0,0,0,1,m,info,True,m,Cooking theme suggests player character,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2722480,u,陌界·终末序曲,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,"Foreign title, no reliable synopsis",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2722640,u,Coin-Op Vice,unc,1,REB,SHA,JES,1,0,1,0,1,m,unk,True,m,Likely arcade-themed vice setting,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2722820,y,Dash & Roll,spr,2,HER,EVE,JES,2,2,0,0,1,y,spr,False,m,Sports/racing-style player role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2723820,y,UFO Sightings Simulator,sim,2,EXP,JES,SAG,2,2,0,0,1,y,sim,False,m,"Simulator role, not a character protagonist",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2727670,u,Chronicles Of Sagrea,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,No usable protagonist evidence,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2731230,u,Jewel Match Origins 3,unc,1,CRE,EXP,INN,1,0,0,0,1,m,unk,True,m,"Hidden-object series, protagonist unclear",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2733820,u,No Ghost in Circus Caravan,unc,1,JES,EXP,UNC,1,0,0,0,1,m,unk,True,m,Circus premise but unclear player role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2736230,y,Ski Jump Challenge 2024,spr,2,HER,EVE,EXP,2,2,0,0,1,y,spr,False,m,Sports competition role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2742010,y,Off-Road: Redneck Racing,spr,2,REB,JES,HER,2,2,0,0,1,y,spr,False,m,Racing game with off-road theme,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2754120,u,FLAKE The Legend of Snowblind,unc,1,EXP,HER,MAG,1,0,0,0,1,m,unk,True,m,"Fantasy title, insufficient details",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2761350,y,Golf Gambit,spr,2,JES,RUL,HER,2,2,0,0,1,y,spr,False,m,Sports role with playful theme,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2763000,y,Rescue: The Beagles,fns,2,CAR,HER,EVE,2,2,0,1,1,y,info,False,m,Rescue-focused protagonist,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2766400,u,Fixer's Tale,unc,1,EVE,REB,CRE,1,0,0,0,1,m,unk,True,m,Likely narrative fixer's role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2767210,u,Universe Millionaire: The New Era of Energy,unc,1,RUL,CRE,SAG,1,0,0,0,1,m,unk,True,m,Business/energy theme unclear,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2775570,u,Viscera,unc,1,SHA,MAG,UNC,1,0,1,0,1,m,unk,True,m,"Single-word title, no reliable context",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2778570,u,Lost Hope,unc,1,EVE,SHA,HER,1,0,1,0,1,m,unk,True,m,Too little reliable information,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2784640,u,HomeNaut,unc,1,EXP,EVE,CRE,1,0,0,0,1,m,unk,True,m,Title suggests travel or exploration,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2785170,y,Butanooo! Simulator,sim,2,JES,CRE,EVE,2,2,0,0,1,y,sim,False,m,Simulator title indicates system role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2786360,y,LOLI RACING,spr,2,HER,JES,EVE,2,2,0,0,1,y,spr,False,m,Racing/sports player role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2787750,u,Backrooms: Liminal Conflict,unc,1,SHA,EXP,HER,1,0,1,0,1,m,unk,True,m,"Backrooms setting, role unclear",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2793360,y,RPG Survivors,fns,1,EVE,HER,SHA,1,1,1,1,1,m,info,True,m,"Survivor protagonists, genre unclear",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2796410,u,Sugar Tanks 2,unc,1,JES,HER,MAG,1,0,0,0,1,m,unk,True,m,"Likely tank combat, uncertain character",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2801670,u,Wraith,unc,1,SHA,MAG,UNC,1,0,1,0,1,m,unk,True,m,"Single-word title, insufficient data",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2803860,u,Silent Sonata,unc,1,CRE,LOV,EVE,1,0,0,0,1,m,unk,True,m,"Could be narrative or musical, unclear",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2809240,u,Elemental Exiles,unc,1,EXP,EVE,MAG,1,0,0,0,1,m,unk,True,m,Title suggests party or RPG structure,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2809670,u,Micro Stream RPG,unc,1,CRE,EVE,MAG,1,0,0,0,1,m,unk,True,m,Insufficient reliable classification data,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2814000,u,Shelf Life,unc,1,EVE,CRE,UNC,1,0,0,0,1,m,unk,True,m,"Ambiguous title, no game context",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2814760,u,Immortals Must Die,unc,1,HER,SHA,MAG,1,0,1,0,1,m,unk,True,m,"Action title, protagonist uncertain",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2815840,y,Nash Racing: Battle,spr,2,HER,REB,JES,2,2,0,0,1,y,spr,False,m,Racing competition role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2815960,u,Robzawar,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,No reliable protagonist information,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2816140,u,"Smile, you're being filmed",unc,1,JES,SHA,EVE,1,0,1,0,1,m,unk,True,m,Possible horror or surveillance theme,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2821020,u,まどろみトラベル,unc,1,EXP,INN,EVE,1,0,0,0,1,m,unk,True,m,"Japanese title, no dependable synopsis",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2827460,u,GURAGURA ODEN,unc,1,JES,CRE,UNC,1,0,0,0,1,m,unk,True,m,"Comedic title, role unclear",steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2833610,u,SplitPool,unc,1,UNC,NA,NA,1,0,0,0,1,m,unk,True,m,No clear protagonist or genre,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2833830,y,Gas Gas Rocket!,spr,2,JES,HER,REB,2,2,0,0,1,y,spr,False,m,Racing-style player role,steam-v006-rest54mini-part_010-chunk-0020-ranks-46951-47000,10
2835480,n,Vectored Armada,sys,2,NA,NA,NA,1,1,0,0,1,n,sys,False,m,"Armada command system, not protagonist-led",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2837300,u,WhichWayOut?,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Too little reliable context,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2837310,u,NO TOMORROW,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Title-only inference too uncertain,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2837370,u,NeverGoingHome,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Unknown role from title alone,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2839040,u,1080p,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Ambiguous title, no protagonist signal",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2850560,u,Yesterday's News,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Insufficient evidence for protagonist,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2854770,u,Faceless,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Faceless could imply avatar, uncertain",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2856310,u,The Immemorial Order,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Order suggests faction, unclear",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2859820,y,Nora: In Search of Hidden Ingredients,fns,2,EXP,EVE,CRE,2,2,0,2,1,y,none,False,m,Named heroine on ingredient quest,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2860190,y,西游记 幻想西游释厄传,fen,2,HER,MAG,REB,1,1,0,1,2,y,multi,False,g,Journey tale with ensemble cast,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2864110,n,GILTSTEADER - Tower Defense,sys,2,NA,NA,NA,1,1,0,0,1,n,sys,False,m,Tower defense uses system role,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2872730,y,Magic University,cbd,1,MAG,CRE,EVE,1,1,0,2,1,m,none,True,m,"Likely student avatar, unclear specifics",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2872800,y,Wacky Burgers,sim,1,CRE,JES,EVE,1,1,0,1,1,m,sim,False,m,Likely restaurant management role,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2874340,n,Slime Clicker,sim,1,NA,NA,NA,0,0,0,0,1,n,sim,False,m,"Clicker management, no protagonist",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2875570,n,Towers & Goblins: The Last Stand,sys,2,NA,NA,NA,1,1,0,0,1,n,sys,False,m,"Defense of faction, not character-led",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2880130,u,Sublimity,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,No reliable protagonist evidence,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2883610,y,Tales From The Arcade: Fartmania,fns,1,JES,REB,EVE,1,1,0,1,1,m,none,False,m,Arcade comedy suggests playable character,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2885990,u,Qwepoi,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Title gives no usable protagonist clue,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2891160,u,Sea of Change,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Ambiguous title, unknown role",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2893680,u,Nightmare Collection: Telephone Call,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Insufficient context from title,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2899020,y,Political Punchers Parody Arena,spr,1,REB,JES,HER,1,1,0,1,1,m,spr,False,m,Likely sports/fighting arena control,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2904510,y,Mr. Scientist,fns,1,SAG,CRE,MAG,1,1,0,1,1,m,info,False,m,Scientist protagonist implied by title,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2907280,u,Uneasy Memories,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Too vague to classify confidently,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2916010,y,Rogue Conflict,sys,1,REB,SHA,HER,1,1,0,0,1,n,sys,False,m,Conflict suggests strategic faction play,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2916190,n,Close Combat 4: The Battle of the Bulge,sys,2,NA,NA,NA,1,1,0,0,1,n,sys,False,g,"Operational war sim, no protagonist",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2917740,u,In Between All Times,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,No dependable protagonist signal,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2921360,u,The Mare of Jonah,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Title suggests story, not clear lead",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2922720,u,Raey,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Single name, but insufficient context",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2924600,n,TENNISTRONIC,spr,2,NA,NA,NA,1,1,0,0,1,n,spr,False,g,"Sports title, no narrative protagonist",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2924820,u,Delicious - Mansion Mystery,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Could be mystery lead, not enough evidence",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2930080,n,Trading Towns,sim,2,NA,NA,NA,1,1,0,0,1,n,sim,False,m,Town trading management role,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2936370,u,Escape from the Cannibal Family,unc,1,UNC,UNC,UNC,0,0,1,0,1,m,unk,True,m,"Horror title, protagonist unclear",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2942690,u,Book of Spells,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Spellbook title, unclear lead",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2947340,u,Whistling Waters,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,Insufficient context for classification,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2955050,u,Cursed Places: Hotel Floor 13,unc,1,UNC,UNC,UNC,0,0,0,0,1,m,unk,True,m,"Horror setting, no clear protagonist",steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2959000,y,Shining Hero,fns,1,HER,INN,RUL,1,1,0,1,1,y,none,False,m,Heroic named/title protagonist implied,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
2962220,y,Little Fish Swims On,nfx,2,EXP,INN,EVE,2,2,0,1,1,y,none,False,m,Nonhuman fish protagonist,steam-v006-rest54mini-part_010-chunk-0021-ranks-47001-47050,10
